host,ip,port,protocol,title,domain,country,city,link,as_organization
bpb.iuse.cloudns.be,172.66.44.119,80,http,Speedtest by Ookla - The Global Broadband Speed Test,cloudns.be,US,San Francisco,http://bpb.iuse.cloudns.be,CLOUDFLARENET
bpb.shaojun.filegear-sg.me,172.67.196.236,80,http,Speedtest by Ookla - The Global Broadband Speed Test,filegear-sg.me,US,San Francisco,http://bpb.shaojun.filegear-sg.me,CLOUDFLARENET
fengfeng.filegear-sg.me,104.21.95.223,80,http,Speedtest by Ookla - The Global Broadband Speed Test,filegear-sg.me,US,San Francisco,http://fengfeng.filegear-sg.me,CLOUDFLARENET
bpb.jy368.filegear-sg.me,172.66.47.129,80,http,Speedtest by Ookla - The Global Broadband Speed Test,filegear-sg.me,US,San Francisco,http://bpb.jy368.filegear-sg.me,CLOUDFLARENET
net1.atmonamii.xyz,172.67.166.193,80,http,Speedtest by Ookla - The Global Broadband Speed Test,atmonamii.xyz,US,San Francisco,http://net1.atmonamii.xyz,CLOUDFLARENET
bfr1.mamatune.top,172.67.187.227,80,http,Speedtest by Ookla - The Global Broadband Speed Test,mamatune.top,US,San Francisco,http://bfr1.mamatune.top,CLOUDFLARENET
mps1.mamatune.top,172.67.187.227,80,http,Speedtest by Ookla - The Global Broadband Speed Test,mamatune.top,US,San Francisco,http://mps1.mamatune.top,CLOUDFLARENET
cm.chenjunxv2015.cloudns.ch,172.66.44.254,80,http,Speedtest by Ookla - The Global Broadband Speed Test,cloudns.ch,US,San Francisco,http://cm.chenjunxv2015.cloudns.ch,CLOUDFLARENET
qpt.isblchh.cloudns.ch,172.66.44.61,80,http,Speedtest by Ookla - The Global Broadband Speed Test,cloudns.ch,US,San Francisco,http://qpt.isblchh.cloudns.ch,CLOUDFLARENET
pages.proton.cloudns.ch,172.66.45.31,80,http,Speedtest by Ookla - The Global Broadband Speed Test,cloudns.ch,US,San Francisco,http://pages.proton.cloudns.ch,CLOUDFLARENET
1.jerek.cloudns.ch,172.66.47.7,80,http,Speedtest by Ookla - The Global Broadband Speed Test,cloudns.ch,US,San Francisco,http://1.jerek.cloudns.ch,CLOUDFLARENET
